country,arableague,normpolity,countrycode,countrycode_qog,islam1100,half1900,africa,americas,asia,europe,oceania,fuelendowed,pmuslim,muslimmajority,womeninparl,alcohol,cereal,religiosity,noyouth2010,unemp2010,thriving2010,fertility,fertilitydif,normfreedom,mecca,desert,govtexp,tradeunions,accesstocredit,lrain
Ethiopia,0,.55000001,ETH,ETH,.047437001,0,1,0,0,0,0,0,.33900002,0,.28,4.02,.23249036,.7347555555555587,,,,4.1999998,-.481838087,.33333334,.14166467,0,17.213116,.032786883,.33333334,6.7428808
Eritrea,0,.15000001,ERI,ERI,.152593,1,1,0,0,0,0,0,.36500001,0,.22,1.54,.02764939,,,,,4.5,-.36772478,0,.067939803,0,39,.38461539,.11111111,5.9506426
Angola,0,.40000001,AGO,AGO,0,0,1,0,0,0,0,0,.0099999998,0,.38999999,5.4000001,.34940821,.792177777777779,,,,5.4000001,-.287682072,.25,.44542754,.041999999,35.659618,.020140987,.22222222,6.9177055
Mozambique,0,.75,MOZ,MOZ,.0069530001,0,1,0,0,0,0,0,.22799999,0,.38999999,2.3800001,.55587405,.7770670457237565,,,,4.9000001,-.282566972,.58333331,.43046501,.012,32.94215,.082644626,.11111111,6.9392538
Zambia,0,.85000002,ZMB,ZMB,0,0,1,0,0,0,0,0,.0040000002,0,.14,3.8499999,.51172549,.8358222222222211,,,,6.3000002,-.133531393,.58333331,.40756306,.003,23.815218,.054347828,.8888889,6.9275579
Zimbabwe,0,.55000001,ZWE,ZWE,0,0,1,0,0,0,0,0,.0089999996,0,.15000001,5.0799999,.35472521,.7429933134158516,,,,3.3,-.766172316,.16666667,.46014148,.012,,.10869566,.66666669,6.4876842
Malawi,0,.80000001,MWI,MWI,0,0,1,0,0,0,0,0,.12800001,0,.20999999,1.74,.39719039,.8596491228070091,,,,6,-.209720531,.58333331,.38789803,.0060000001,33.175438,.1754386,.66666669,7.0741167
South Africa,0,.94999999,ZAF,ZAF,0,0,1,0,0,0,0,0,.015,0,.44999999,9.46,.10937577,.762473347547979,,,,2.5,-.652325186,.83333331,.57990122,.22499999,29.976303,.0094786733,1,6.2045579
Namibia,0,.80000001,NAM,NAM,0,0,1,0,0,0,0,0,.0040000002,0,.23999999,9.6199999,.076586969,.8100320170757724,,,,3.2,-.708651367,.83333331,.54076529,.60500002,40.130772,.15384616,.77777779,5.6524892
Lesotho,0,.89999998,LSO,LSO,0,0,1,0,0,0,0,0,0,0,.23999999,5.5500002,.051162791,,,,,5.1999998,-.297251523,.66666669,.57788175,.0060000001,59.370369,0,.55555558,6.669498
Botswana,0,.89999998,BWA,BWA,0,0,1,0,0,0,0,0,.0040000002,0,.079999998,7.96,.072871186,.7076813655760994,,,,2.8,-.794929875,.75,.5127629,.23100001,37.365852,.060975611,.66666669,6.0306854
Swaziland,0,.050000001,SWZ,SWZ,0,0,1,0,0,0,0,0,.0020000001,0,.14,5.6999998,.24067797,,,,,3.4000001,-.678332095,.16666667,.53848249,.0020000001,39.333336,.51282048,.55555558,6.669498
Madagascar,0,.5,MDG,MDG,0,0,1,0,0,0,0,0,.011,0,,1.33,.32000202,.7851298470295291,,,,4.6999998,-.324239668,.33333334,.45753899,.0080000004,18.478724,.42553192,.11111111,7.3218498
Comoros,1,.94999999,COM,COM,0,1,1,0,0,0,0,0,.98300004,1,.029999999,.36000001,,.8226609747420865,.69077855,.10337972,.043216631,4.9000001,-.370859579,.58333331,.37097168,,23.549999,1.6666666,.22222222,6.8023949
Mauritius,0,1,MUS,MUS,0,0,1,0,0,0,0,0,.16600001,0,.19,3.72,,,,,,1.5,-.587786665,.91666669,.50118554,,25.863636,.27272728,.55555558,7.6211953
Morocco,1,.2,MAR,MAR,1,1,1,0,0,0,0,0,.99000001,1,.11,1.46,.13866055,.8295980078263959,.5174014,.079520695,.11989247,2.3,-.889857475,.41666666,.47000802,.68300003,31.375244,.029469548,.22222222,5.8464389
Algeria,1,.60000002,DZA,DZA,1,1,1,0,0,0,0,1,.98000002,1,.079999998,.95999998,.0085050249,.7691778465772185,.45646295,.15169904,.2098501,2.3,-1.098612289,.25,.38177833,.94699997,49.945473,.0054525631,.22222222,4.4886365
Tunisia,1,.30000001,TUN,TUN,1,1,1,0,0,0,0,0,.995,1,.28,1.29,.080954246,.7132970274563083,.23291416,.096715331,.14225721,2,-.9745596399999999,.16666667,.32796177,.70199996,29.7955,.020449897,.22222222,5.3327188
Libya,1,.15000001,LBY,LBY,1,1,1,0,0,0,0,1,.96599996,1,.079999998,.11,.0062379618,,.16411379,.072481573,.14170507,1.4,,0,.22954746,.98699999,34.549774,0,,4.0253515
Sudan,1,.40000001,SDN,SDN,.060945,1,1,0,0,0,0,0,.71300006,1,.25999999,2.5599999,.24158287,.7751689790110265,.64233983,.18155339,.11051213,4.4000001,-.374693449,0,.13335532,.44799998,18.199053,0,.33333334,6.0306854
